1 [0.79 0.29 0.31 0.34] [0.92 0.44 0.48 0.86]
2 [0.71 0.27 0.29 0.25] [0.89 0.49 0.52 0.75]
3 [0.95 0.35 0.38 0.4 ] [1.01 0.55 0.6  0.92]
4 [1.32 0.47 0.56 0.59] [1.22 0.75 0.64 1.17]
5 [1.23 0.53 0.54 0.49] [1.46 0.78 0.91 1.18]
6 [1.15 0.35 0.42 0.61] [1.04 0.51 0.54 1.09]
7 [1.11 0.44 0.48 0.44] [0.99 0.59 0.58 0.95]
8 [1.2  0.45 0.45 0.57] [1.28 0.67 0.71 1.18]
9 [1.16 0.42 0.54 0.47] [0.99 0.54 0.61 0.97]
10 [1.09 0.33 0.48 0.52] [1.05 0.47 0.56 1.07]

Scan IDIR, mean (std)
4DCT 01 0.76 (0.94) 
4DCT 02 0.76 (0.94)
4DCT 03 0.94 (1.02) 
4DCT 04 1.32 (1.27) 
4DCT 05 1.23 (1.47)
4DCT 06 1.09 (1.03)
4DCT 07 1.12 (1.00) 
4DCT 08 1.21 (1.29) 
4DCT 09 1.22 (0.95) 
4DCT 10 1.01 (1.05) 
Average 1.07
